Title,URL,Volume Issue,Vol Issue Year
HubHSP graph: Capturing local geometrical and statistical data properties via spanning graphs,https://www.sciencedirect.com/science/article/pii/S0306437923001771,Volume 121,Mar-24
On tuning parameters guiding similarity computations in a data deduplication pipeline for customers records: Experience from a R&D project,https://www.sciencedirect.com/science/article/pii/S030643792300159X,Volume 121,Mar-24
Explaining cube measures through Intentional Analytics,https://www.sciencedirect.com/science/article/pii/S0306437923001746,Volume 121,Mar-24
A screenshot-based task mining framework for disclosing the drivers behind variable human actions,https://www.sciencedirect.com/science/article/pii/S030643792300176X,Volume 121,Mar-24
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437923001631,Volume 120,Feb-24
Efficient multi-query evaluation for distributed CEP through predicate-based push–pull plans,https://www.sciencedirect.com/science/article/pii/S0306437923000868,Volume 120,Feb-24
A survey of approaches for event sequence analysis and visualization,https://www.sciencedirect.com/science/article/pii/S0306437923001199,Volume 120,Feb-24
Medoid Silhouette clustering with automatic cluster number selection,https://www.sciencedirect.com/science/article/pii/S0306437923001266,Volume 120,Feb-24
A taxonomy and ontology for digital platforms,https://www.sciencedirect.com/science/article/pii/S0306437923001291,Volume 120,Feb-24
An analysis of ensemble pruning methods under the explanation of Random Forest,https://www.sciencedirect.com/science/article/pii/S0306437923001461,Volume 120,Feb-24
Adoption of IT solutions: A data-driven analysis approach,https://www.sciencedirect.com/science/article/pii/S0306437923001497,Volume 120,Feb-24
ECG classification with learning ensemble based on symbolic discretization,https://www.sciencedirect.com/science/article/pii/S0306437923001308,Volume 120,Feb-24
Reproducible experiments for generating pre-processing pipelines for AutoETL,https://www.sciencedirect.com/science/article/pii/S0306437923001503,Volume 120,Feb-24
A Value Co-Creation Perspective on Data Labeling in Hybrid Intelligence Systems: A Design Study,https://www.sciencedirect.com/science/article/pii/S0306437923001473,Volume 120,Feb-24
Novel diversified echo state network for improved accuracy and explainability of EEG-based stroke prediction,https://www.sciencedirect.com/science/article/pii/S0306437923001539,Volume 120,Feb-24
CoCo-trie: Data-aware compression and indexing of strings,https://www.sciencedirect.com/science/article/pii/S0306437923001527,Volume 120,Feb-24
Big data analytics deep learning techniques and applications: A survey,https://www.sciencedirect.com/science/article/pii/S0306437923001540,Volume 120,Feb-24
Reinforcement learning with time intervals for temporal knowledge graph reasoning,https://www.sciencedirect.com/science/article/pii/S030643792300128X,Volume 120,Feb-24
"Discovery, simulation, and optimization of business processes with differentiated resources",https://www.sciencedirect.com/science/article/pii/S0306437923001254,Volume 120,Feb-24
GSM: A generalized approach to Supervised Meta-blocking for scalable entity resolution,https://www.sciencedirect.com/science/article/pii/S0306437923001436,Volume 120,Feb-24
Measuring rule-based LTLf process specifications: A probabilistic data-driven approach,https://www.sciencedirect.com/science/article/pii/S0306437923001485,Volume 120,Feb-24
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437923001400,Volume 119,Oct-23
"X-Processes: Process model discovery with the best balance among fitness, precision, simplicity, and generalization through a genetic algorithm",https://www.sciencedirect.com/science/article/pii/S0306437923000832,Volume 119,Oct-23
Dynamic sales prediction with auto-learning and elastic-adjustment mechanism for inventory optimization,https://www.sciencedirect.com/science/article/pii/S0306437923000959,Volume 119,Oct-23
A review on missing values for main challenges and methods,https://www.sciencedirect.com/science/article/pii/S0306437923001047,Volume 119,Oct-23
Two-layer partitioned and deletable deep bloom filter for large-scale membership query,https://www.sciencedirect.com/science/article/pii/S0306437923001035,Volume 119,Oct-23
Behavioral consistency measurement between extended WFD-nets,https://www.sciencedirect.com/science/article/pii/S0306437923001102,Volume 119,Oct-23
ClayRS: An end-to-end framework for reproducible knowledge-aware recommender systems,https://www.sciencedirect.com/science/article/pii/S0306437923001096,Volume 119,Oct-23
KSGAN: Knowledge-aware subgraph attention network for scholarly community recommendation,https://www.sciencedirect.com/science/article/pii/S0306437923001187,Volume 119,Oct-23
AI-based decision support system for public procurement,https://www.sciencedirect.com/science/article/pii/S0306437923001205,Volume 119,Oct-23
AIMED: An automatic and incremental approach for business process model repair under concept drift,https://www.sciencedirect.com/science/article/pii/S0306437923001217,Volume 119,Oct-23
"DB
-tree: A new variant of B
-tree for main-memory database systems",https://www.sciencedirect.com/science/article/pii/S0306437923001230,Volume 119,Oct-23
"Supervisory control of business processes with resources, parallel and mutually exclusive branches, loops, and uncertainty",https://www.sciencedirect.com/science/article/pii/S0306437923001242,Volume 119,Oct-23
"A framework for modeling, executing, and monitoring hybrid multi-process specifications with bounded global–local memory",https://www.sciencedirect.com/science/article/pii/S0306437923001072,Volume 119,Oct-23
"Local intrinsic dimensionality measures for graphs, with applications to graph embeddings",https://www.sciencedirect.com/science/article/pii/S0306437923001084,Volume 119,Oct-23
Induced permutations for approximate metric search,https://www.sciencedirect.com/science/article/pii/S0306437923001229,Volume 119,Oct-23
A large reproducible benchmark on text classification for the legal domain based on the ECHR-OD repository,https://www.sciencedirect.com/science/article/pii/S0306437923000947,Volume 119,Oct-23
Data augmentation via context similarity: An application to biomedical Named Entity Recognition,https://www.sciencedirect.com/science/article/pii/S0306437923001278,Volume 119,Oct-23
Editorial Board,https://www.sciencedirect.com/science/article/pii/S030643792300114X,Volume 118,Sep-23
Assessing the value of ontologically unpacking a conceptual model for human genomics,https://www.sciencedirect.com/science/article/pii/S0306437923000789,Volume 118,Sep-23
Everything at the proper time: Repairing identical timestamp errors in event logs with Generative Adversarial Networks,https://www.sciencedirect.com/science/article/pii/S0306437923000820,Volume 118,Sep-23
