Title,URL,Volume Issue,Vol Issue Year
Knowledge-based Context-aware Group Recommender System for Point of Interest recommendation,https://www.sciencedirect.com/science/article/pii/S0167923625000867,Volume 196,Sep-25
"The more aesthetic, the better? The impact of photo aesthetics on perceived review helpfulness",https://www.sciencedirect.com/science/article/pii/S0167923625000971,Volume 196,Sep-25
Impact of categorization autonomy on effective use and adoption intentions,https://www.sciencedirect.com/science/article/pii/S0167923625001009,Volume 196,Sep-25
Modeling the role of generative AI in organizational privacy and security,https://www.sciencedirect.com/science/article/pii/S0167923625001010,Volume 196,Sep-25
The risk-risk trade-off (R2T) framework: Examining contact [cash] versus contactless [mobile] payment usage,https://www.sciencedirect.com/science/article/pii/S016792362500096X,Volume 196,Sep-25
An explainable framework for assisting the detection of AI-generated textual content,https://www.sciencedirect.com/science/article/pii/S0167923625000995,Volume 196,Sep-25
Corrigendum to “Impact of multidimensional presence on user well-being in metaverse communities”,https://www.sciencedirect.com/science/article/pii/S0167923625000983,Volume 196,Sep-25
Does warm care matter? Exploring the effects of service characteristics on organizational impression in smart retail stores,https://www.sciencedirect.com/science/article/pii/S0167923625001034,Volume 196,Sep-25
An agent-based model to analyze the influence of IS integration and IS assimilation on the adoption dynamics of a green supply chain: The case of regional consolidation centers,https://www.sciencedirect.com/science/article/pii/S0167923625001022,Volume 196,Sep-25
Flight delay dynamics: Unraveling the impact of airport-network-spilled propagation on airline on-time performance,https://www.sciencedirect.com/science/article/pii/S0167923625000958,Volume 196,Sep-25
An exploration and exploitation of value cocreation-based machine learning framework for automated idea screening,https://www.sciencedirect.com/science/article/pii/S0167923625001058,Volume 196,Sep-25
Online–offline combined adaptive hotel recommendation system considering attribute importance and group consensus,https://www.sciencedirect.com/science/article/pii/S0167923625001046,Volume 196,Sep-25
Gamified giving: Contingent effects of leaderboard rankings on donation behavior in online medical crowdfunding,https://www.sciencedirect.com/science/article/pii/S016792362500106X,Volume 196,Sep-25
Stock habitats and information flow: How do different co-attention behaviors in online communities shape market reactions?,https://www.sciencedirect.com/science/article/pii/S0167923625001095,Volume 196,Sep-25
A novel fuzzy nonparallel support vector machine for identifying helpful online reviews,https://www.sciencedirect.com/science/article/pii/S0167923625001071,Volume 196,Sep-25
Sentiment-aware cross-modal semantic interaction model for harmful meme detection,https://www.sciencedirect.com/science/article/pii/S0167923625001101,Volume 196,Sep-25
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0167923625000909,Volume 195,Aug-25
Integrating temporal association rules into intelligent prediction system for metabolic dysfunction-associated fatty liver disease,https://www.sciencedirect.com/science/article/pii/S0167923625000685,Volume 195,Aug-25
More than meets the eye: Feature concerns and suggestions in mobile XR app reviews,https://www.sciencedirect.com/science/article/pii/S0167923625000764,Volume 195,Aug-25
Social media meets FinTech platforms: How do online emotions support credit risk decision-making?,https://www.sciencedirect.com/science/article/pii/S0167923625000727,Volume 195,Aug-25
Multi-interest transfer using contrastive learning for cross-domain recommendation,https://www.sciencedirect.com/science/article/pii/S0167923625000740,Volume 195,Aug-25
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0167923625000806,Volume 194,Jul-25
Leveraging meta-path and co-attention to model consumer preference stability in fashion recommendations,https://www.sciencedirect.com/science/article/pii/S0167923625000569,Volume 194,Jul-25
Metaverse opportunities and challenges: A research agenda and editorial on the special issue on the evolution of Metaverse platforms (part 2),https://www.sciencedirect.com/science/article/pii/S0167923625000570,Volume 194,Jul-25
Governmental enforcement against piracy on media platforms,https://www.sciencedirect.com/science/article/pii/S0167923625000594,Volume 194,Jul-25
Using large multimodal models to predict outfit compatibility,https://www.sciencedirect.com/science/article/pii/S0167923625000582,Volume 194,Jul-25
